query id	subject id	identity	alignment length	q. start	q. end	s. start	s. end	evalue	strand	transcript_id	gene_symbol
Pair14_3	ENST00000304506.7	100.0	20	1	20	276	257	0.002	minus	ENST00000304506.7	IL13
Pair15_5	ENST00000304506.7	100.0	18	1	18	180	197	0.015	plus	ENST00000304506.7	IL13
Pair15_3	ENST00000304506.7	100.0	21	1	21	277	257	0.000398	minus	ENST00000304506.7	IL13
Pair16_5	ENST00000304506.7	100.0	20	1	20	81	100	0.002	plus	ENST00000304506.7	IL13
Pair16_3	ENST00000304506.7	100.0	20	1	20	219	200	0.002	minus	ENST00000304506.7	IL13
Pair17_5	ENST00000304506.7	100.0	20	1	20	55	74	0.002	plus	ENST00000304506.7	IL13
Pair17_3	ENST00000304506.7	100.0	20	1	20	219	200	0.002	minus	ENST00000304506.7	IL13
Pair18_5	ENST00000304506.7	100.0	20	1	20	54	73	0.002	plus	ENST00000304506.7	IL13
Pair18_3	ENST00000304506.7	100.0	20	1	20	219	200	0.002	minus	ENST00000304506.7	IL13
Pair19_5	ENST00000304506.7	100.0	20	1	20	75	94	0.002	plus	ENST00000304506.7	IL13
Pair19_3	ENST00000304506.7	100.0	20	1	20	219	200	0.002	minus	ENST00000304506.7	IL13
Pair20_5	ENST00000304506.7	100.0	20	1	20	57	76	0.002	plus	ENST00000304506.7	IL13
Pair20_3	ENST00000304506.7	100.0	20	1	20	219	200	0.002	minus	ENST00000304506.7	IL13
Pair21_5	ENST00000304506.7	100.0	20	1	20	81	100	0.002	plus	ENST00000304506.7	IL13
Pair21_3	ENST00000304506.7	100.0	20	1	20	225	206	0.002	minus	ENST00000304506.7	IL13
Pair22_5	ENST00000304506.7	100.0	21	1	21	79	99	0.000398	plus	ENST00000304506.7	IL13
Pair22_3	ENST00000304506.7	100.0	20	1	20	219	200	0.002	minus	ENST00000304506.7	IL13
Pair23_5	ENST00000304506.7	100.0	20	1	20	75	94	0.002	plus	ENST00000304506.7	IL13
Pair23_3	ENST00000304506.7	100.0	20	1	20	225	206	0.002	minus	ENST00000304506.7	IL13
Pair24_5	ENST00000304506.7	100.0	20	1	20	81	100	0.002	plus	ENST00000304506.7	IL13
Pair24_3	ENST00000304506.7	100.0	21	1	21	226	206	0.000398	minus	ENST00000304506.7	IL13
Pair25_5	ENST00000304506.7	100.0	20	1	20	57	76	0.002	plus	ENST00000304506.7	IL13
Pair25_3	ENST00000304506.7	100.0	20	1	20	225	206	0.002	minus	ENST00000304506.7	IL13
Pair26_5	ENST00000304506.7	100.0	20	1	20	75	94	0.002	plus	ENST00000304506.7	IL13
Pair26_3	ENST00000304506.7	100.0	21	1	21	226	206	0.000398	minus	ENST00000304506.7	IL13
Pair27_5	ENST00000304506.7	100.0	21	1	21	79	99	0.000398	plus	ENST00000304506.7	IL13
Pair27_3	ENST00000304506.7	100.0	20	1	20	225	206	0.002	minus	ENST00000304506.7	IL13
Pair28_5	ENST00000304506.7	100.0	20	1	20	57	76	0.002	plus	ENST00000304506.7	IL13
Pair28_3	ENST00000304506.7	100.0	21	1	21	226	206	0.000398	minus	ENST00000304506.7	IL13
Pair29_5	ENST00000304506.7	100.0	20	1	20	81	100	0.002	plus	ENST00000304506.7	IL13
Pair29_3	ENST00000304506.7	100.0	22	1	22	230	209	0.000121	minus	ENST00000304506.7	IL13
Pair30_5	ENST00000304506.7	100.0	21	1	21	79	99	0.000398	plus	ENST00000304506.7	IL13
Pair30_3	ENST00000304506.7	100.0	21	1	21	226	206	0.000398	minus	ENST00000304506.7	IL13
Pair31_5	ENST00000304506.7	100.0	20	1	20	81	100	0.002	plus	ENST00000304506.7	IL13
Pair31_3	ENST00000304506.7	100.0	22	1	22	234	213	0.000121	minus	ENST00000304506.7	IL13
Pair32_5	ENST00000304506.7	100.0	19	1	19	231	249	0.005	plus	ENST00000304506.7	IL13
Pair32_3	ENST00000304506.7	100.0	20	1	20	381	362	0.002	minus	ENST00000304506.7	IL13
Pair33_5	ENST00000304506.7	100.0	19	1	19	231	249	0.005	plus	ENST00000304506.7	IL13
Pair33_3	ENST00000304506.7	100.0	20	1	20	366	347	0.002	minus	ENST00000304506.7	IL13
Pair34_5	ENST00000304506.7	100.0	20	1	20	230	249	0.002	plus	ENST00000304506.7	IL13
Pair34_3	ENST00000304506.7	100.0	20	1	20	381	362	0.002	minus	ENST00000304506.7	IL13
Pair35_5	ENST00000304506.7	100.0	20	1	20	230	249	0.002	plus	ENST00000304506.7	IL13
Pair35_3	ENST00000304506.7	100.0	20	1	20	366	347	0.002	minus	ENST00000304506.7	IL13
Pair36_5	ENST00000304506.7	100.0	19	1	19	231	249	0.005	plus	ENST00000304506.7	IL13
Pair36_3	ENST00000304506.7	100.0	20	1	20	365	346	0.002	minus	ENST00000304506.7	IL13
Pair37_5	ENST00000304506.7	100.0	20	1	20	228	247	0.002	plus	ENST00000304506.7	IL13
Pair37_3	ENST00000304506.7	100.0	20	1	20	381	362	0.002	minus	ENST00000304506.7	IL13
Pair38_5	ENST00000304506.7	100.0	20	1	20	230	249	0.002	plus	ENST00000304506.7	IL13
Pair38_3	ENST00000304506.7	100.0	20	1	20	365	346	0.002	minus	ENST00000304506.7	IL13
Pair39_5	ENST00000304506.7	100.0	20	1	20	228	247	0.002	plus	ENST00000304506.7	IL13
Pair39_3	ENST00000304506.7	100.0	20	1	20	366	347	0.002	minus	ENST00000304506.7	IL13
Pair40_5	ENST00000304506.7	100.0	19	1	19	231	249	0.005	plus	ENST00000304506.7	IL13
Pair40_3	ENST00000304506.7	100.0	20	1	20	369	350	0.002	minus	ENST00000304506.7	IL13
Pair41_5	ENST00000304506.7	100.0	19	1	19	231	249	0.005	plus	ENST00000304506.7	IL13
Pair41_3	ENST00000304506.7	100.0	20	1	20	385	366	0.002	minus	ENST00000304506.7	IL13
Pair42_5	ENST00000304506.7	100.0	19	1	19	231	249	0.005	plus	ENST00000304506.7	IL13
Pair42_3	ENST00000304506.7	100.0	20	1	20	388	369	0.002	minus	ENST00000304506.7	IL13
Pair43_5	ENST00000304506.7	100.0	20	1	20	228	247	0.002	plus	ENST00000304506.7	IL13
Pair43_3	ENST00000304506.7	100.0	20	1	20	365	346	0.002	minus	ENST00000304506.7	IL13
Pair44_5	ENST00000304506.7	100.0	19	1	19	231	249	0.005	plus	ENST00000304506.7	IL13
Pair44_3	ENST00000304506.7	100.0	21	1	21	382	362	0.000398	minus	ENST00000304506.7	IL13
Pair45_5	ENST00000304506.7	100.0	20	1	20	230	249	0.002	plus	ENST00000304506.7	IL13
Pair45_3	ENST00000304506.7	100.0	20	1	20	369	350	0.002	minus	ENST00000304506.7	IL13
Pair46_5	ENST00000304506.7	100.0	20	1	20	230	249	0.002	plus	ENST00000304506.7	IL13
Pair46_3	ENST00000304506.7	100.0	20	1	20	385	366	0.002	minus	ENST00000304506.7	IL13
Pair47_5	ENST00000304506.7	100.0	20	1	20	230	249	0.002	plus	ENST00000304506.7	IL13
Pair47_3	ENST00000304506.7	100.0	20	1	20	388	369	0.002	minus	ENST00000304506.7	IL13
Pair48_5	ENST00000304506.7	100.0	20	1	20	201	220	0.002	plus	ENST00000304506.7	IL13
Pair48_3	ENST00000304506.7	100.0	20	1	20	366	347	0.002	minus	ENST00000304506.7	IL13
Pair49_5	ENST00000304506.7	100.0	20	1	20	215	234	0.002	plus	ENST00000304506.7	IL13
Pair49_3	ENST00000304506.7	100.0	20	1	20	381	362	0.002	minus	ENST00000304506.7	IL13
Pair50_5	ENST00000304506.7	100.0	20	1	20	201	220	0.002	plus	ENST00000304506.7	IL13
Pair50_3	ENST00000304506.7	100.0	20	1	20	365	346	0.002	minus	ENST00000304506.7	IL13
Pair51_5	ENST00000304506.7	100.0	20	1	20	215	234	0.002	plus	ENST00000304506.7	IL13
Pair51_3	ENST00000304506.7	100.0	20	1	20	366	347	0.002	minus	ENST00000304506.7	IL13
Pair52_5	ENST00000304506.7	100.0	21	1	21	207	227	0.000398	plus	ENST00000304506.7	IL13
Pair52_3	ENST00000304506.7	100.0	20	1	20	366	347	0.002	minus	ENST00000304506.7	IL13
Pair53_5	ENST00000304506.7	100.0	20	1	20	201	220	0.002	plus	ENST00000304506.7	IL13
Pair53_3	ENST00000304506.7	100.0	20	1	20	369	350	0.002	minus	ENST00000304506.7	IL13
Pair54_5	ENST00000304506.7	100.0	20	1	20	215	234	0.002	plus	ENST00000304506.7	IL13
Pair54_3	ENST00000304506.7	100.0	20	1	20	365	346	0.002	minus	ENST00000304506.7	IL13
Pair55_5	ENST00000304506.7	100.0	21	1	21	207	227	0.000398	plus	ENST00000304506.7	IL13
Pair55_3	ENST00000304506.7	100.0	20	1	20	365	346	0.002	minus	ENST00000304506.7	IL13
Pair56_5	ENST00000304506.7	100.0	22	1	22	213	234	0.000121	plus	ENST00000304506.7	IL13
Pair56_3	ENST00000304506.7	100.0	20	1	20	381	362	0.002	minus	ENST00000304506.7	IL13
Pair57_5	ENST00000304506.7	100.0	20	1	20	215	234	0.002	plus	ENST00000304506.7	IL13
Pair57_3	ENST00000304506.7	100.0	20	1	20	369	350	0.002	minus	ENST00000304506.7	IL13
Pair58_5	ENST00000304506.7	100.0	22	1	22	209	230	0.000121	plus	ENST00000304506.7	IL13
Pair58_3	ENST00000304506.7	100.0	20	1	20	366	347	0.002	minus	ENST00000304506.7	IL13
Pair59_5	ENST00000304506.7	100.0	20	1	20	215	234	0.002	plus	ENST00000304506.7	IL13
Pair59_3	ENST00000304506.7	100.0	21	1	21	382	362	0.000398	minus	ENST00000304506.7	IL13
Pair60_5	ENST00000304506.7	100.0	22	1	22	213	234	0.000121	plus	ENST00000304506.7	IL13
Pair60_3	ENST00000304506.7	100.0	20	1	20	366	347	0.002	minus	ENST00000304506.7	IL13
Pair61_5	ENST00000304506.7	100.0	21	1	21	210	230	0.000398	plus	ENST00000304506.7	IL13
Pair61_3	ENST00000304506.7	100.0	20	1	20	366	347	0.002	minus	ENST00000304506.7	IL13
Pair62_5	ENST00000304506.7	100.0	21	1	21	207	227	0.000398	plus	ENST00000304506.7	IL13
Pair62_3	ENST00000304506.7	100.0	20	1	20	369	350	0.002	minus	ENST00000304506.7	IL13
Pair63_5	ENST00000304506.7	100.0	20	1	20	201	220	0.002	plus	ENST00000304506.7	IL13
Pair63_3	ENST00000304506.7	100.0	21	1	21	368	348	0.000398	minus	ENST00000304506.7	IL13
Pair64_5	ENST00000304506.7	100.0	20	1	20	201	220	0.002	plus	ENST00000304506.7	IL13
Pair64_3	ENST00000304506.7	100.0	20	1	20	355	336	0.002	minus	ENST00000304506.7	IL13
Pair65_5	ENST00000304506.7	100.0	19	1	19	337	355	0.005	plus	ENST00000304506.7	IL13
Pair65_3	ENST00000304506.7	100.0	20	1	20	444	425	0.002	minus	ENST00000304506.7	IL13
Pair66_5	ENST00000304506.7	100.0	20	1	20	336	355	0.002	plus	ENST00000304506.7	IL13
Pair66_3	ENST00000304506.7	100.0	20	1	20	444	425	0.002	minus	ENST00000304506.7	IL13
Pair67_5	ENST00000304506.7	100.0	20	1	20	256	275	0.002	plus	ENST00000304506.7	IL13
Pair67_3	ENST00000304506.7	100.0	20	1	20	355	336	0.002	minus	ENST00000304506.7	IL13
Pair68_5	ENST00000304506.7	100.0	20	1	20	215	234	0.002	plus	ENST00000304506.7	IL13
Pair68_3	ENST00000304506.7	100.0	20	1	20	355	336	0.002	minus	ENST00000304506.7	IL13
Pair69_5	ENST00000304506.7	100.0	21	1	21	207	227	0.000398	plus	ENST00000304506.7	IL13
Pair69_3	ENST00000304506.7	100.0	20	1	20	355	336	0.002	minus	ENST00000304506.7	IL13
Pair70_5	ENST00000304506.7	100.0	21	1	21	259	279	0.000398	plus	ENST00000304506.7	IL13
Pair70_3	ENST00000304506.7	100.0	20	1	20	355	336	0.002	minus	ENST00000304506.7	IL13
Pair71_5	ENST00000304506.7	100.0	22	1	22	258	279	0.000121	plus	ENST00000304506.7	IL13
Pair71_3	ENST00000304506.7	100.0	20	1	20	355	336	0.002	minus	ENST00000304506.7	IL13
Pair72_5	ENST00000304506.7	100.0	19	1	19	337	355	0.005	plus	ENST00000304506.7	IL13
Pair72_3	ENST00000304506.7	100.0	22	1	22	499	478	0.000121	minus	ENST00000304506.7	IL13
Pair73_5	ENST00000304506.7	100.0	22	1	22	209	230	0.000121	plus	ENST00000304506.7	IL13
Pair73_3	ENST00000304506.7	100.0	20	1	20	355	336	0.002	minus	ENST00000304506.7	IL13
Pair74_5	ENST00000304506.7	100.0	22	1	22	213	234	0.000121	plus	ENST00000304506.7	IL13
Pair74_3	ENST00000304506.7	100.0	20	1	20	355	336	0.002	minus	ENST00000304506.7	IL13
Pair75_5	ENST00000304506.7	100.0	21	1	21	210	230	0.000398	plus	ENST00000304506.7	IL13
Pair75_3	ENST00000304506.7	100.0	20	1	20	355	336	0.002	minus	ENST00000304506.7	IL13
Pair76_5	ENST00000304506.7	100.0	20	1	20	336	355	0.002	plus	ENST00000304506.7	IL13
Pair76_3	ENST00000304506.7	100.0	22	1	22	499	478	0.000121	minus	ENST00000304506.7	IL13
Pair77_5	ENST00000304506.7	100.0	20	1	20	337	356	0.002	plus	ENST00000304506.7	IL13
Pair77_3	ENST00000304506.7	100.0	20	1	20	444	425	0.002	minus	ENST00000304506.7	IL13
Pair78_5	ENST00000304506.7	100.0	22	1	22	206	227	0.000121	plus	ENST00000304506.7	IL13
Pair78_3	ENST00000304506.7	100.0	20	1	20	355	336	0.002	minus	ENST00000304506.7	IL13
Pair79_5	ENST00000304506.7	100.0	19	1	19	337	355	0.005	plus	ENST00000304506.7	IL13
Pair79_3	ENST00000304506.7	100.0	23	1	23	501	479	3.57e-05	minus	ENST00000304506.7	IL13
Pair80_5	ENST00000304506.7	100.0	20	1	20	256	275	0.002	plus	ENST00000304506.7	IL13
Pair80_3	ENST00000304506.7	100.0	20	1	20	381	362	0.002	minus	ENST00000304506.7	IL13
Pair81_5	ENST00000304506.7	100.0	20	1	20	215	234	0.002	plus	ENST00000304506.7	IL13
Pair81_3	ENST00000304506.7	100.0	20	1	20	381	362	0.002	minus	ENST00000304506.7	IL13
Pair82_5	ENST00000304506.7	100.0	20	1	20	201	220	0.002	plus	ENST00000304506.7	IL13
Pair82_3	ENST00000304506.7	100.0	20	1	20	369	350	0.002	minus	ENST00000304506.7	IL13
Pair83_5	ENST00000304506.7	100.0	21	1	21	259	279	0.000398	plus	ENST00000304506.7	IL13
Pair83_3	ENST00000304506.7	100.0	20	1	20	381	362	0.002	minus	ENST00000304506.7	IL13
Pair84_5	ENST00000304506.7	100.0	22	1	22	258	279	0.000121	plus	ENST00000304506.7	IL13
Pair84_3	ENST00000304506.7	100.0	20	1	20	381	362	0.002	minus	ENST00000304506.7	IL13
Pair85_5	ENST00000304506.7	100.0	20	1	20	256	275	0.002	plus	ENST00000304506.7	IL13
Pair85_3	ENST00000304506.7	100.0	20	1	20	403	384	0.002	minus	ENST00000304506.7	IL13
Pair86_5	ENST00000304506.7	100.0	20	1	20	256	275	0.002	plus	ENST00000304506.7	IL13
Pair86_3	ENST00000304506.7	100.0	20	1	20	406	387	0.002	minus	ENST00000304506.7	IL13
Pair87_5	ENST00000304506.7	100.0	22	1	22	213	234	0.000121	plus	ENST00000304506.7	IL13
Pair87_3	ENST00000304506.7	100.0	20	1	20	381	362	0.002	minus	ENST00000304506.7	IL13
Pair88_5	ENST00000304506.7	100.0	20	1	20	256	275	0.002	plus	ENST00000304506.7	IL13
Pair88_3	ENST00000304506.7	100.0	20	1	20	369	350	0.002	minus	ENST00000304506.7	IL13
Pair89_5	ENST00000304506.7	100.0	20	1	20	256	275	0.002	plus	ENST00000304506.7	IL13
Pair89_3	ENST00000304506.7	100.0	20	1	20	385	366	0.002	minus	ENST00000304506.7	IL13
Pair90_5	ENST00000304506.7	100.0	20	1	20	256	275	0.002	plus	ENST00000304506.7	IL13
Pair90_3	ENST00000304506.7	100.0	20	1	20	388	369	0.002	minus	ENST00000304506.7	IL13
Pair91_5	ENST00000304506.7	100.0	20	1	20	215	234	0.002	plus	ENST00000304506.7	IL13
Pair91_3	ENST00000304506.7	100.0	20	1	20	369	350	0.002	minus	ENST00000304506.7	IL13
Pair92_5	ENST00000304506.7	100.0	20	1	20	256	275	0.002	plus	ENST00000304506.7	IL13
Pair92_3	ENST00000304506.7	100.0	21	1	21	382	362	0.000398	minus	ENST00000304506.7	IL13
Pair93_5	ENST00000304506.7	100.0	20	1	20	215	234	0.002	plus	ENST00000304506.7	IL13
Pair93_3	ENST00000304506.7	100.0	21	1	21	382	362	0.000398	minus	ENST00000304506.7	IL13
Pair94_5	ENST00000304506.7	100.0	21	1	21	207	227	0.000398	plus	ENST00000304506.7	IL13
Pair94_3	ENST00000304506.7	100.0	20	1	20	369	350	0.002	minus	ENST00000304506.7	IL13
Pair95_5	ENST00000304506.7	100.0	20	1	20	256	275	0.002	plus	ENST00000304506.7	IL13
Pair95_3	ENST00000304506.7	100.0	20	1	20	409	390	0.002	minus	ENST00000304506.7	IL13
Pair0_5	ENST00000487267.5	100.0	18	1	18	337	354	0.015	plus	ENST00000487267.5	IL13
Pair0_3	ENST00000487267.5	100.0	20	1	20	433	414	0.002	minus	ENST00000487267.5	IL13
Pair1_5	ENST00000487267.5	100.0	18	1	18	335	352	0.015	plus	ENST00000487267.5	IL13
Pair1_3	ENST00000487267.5	100.0	20	1	20	433	414	0.002	minus	ENST00000487267.5	IL13
Pair2_5	ENST00000487267.5	100.0	18	1	18	337	354	0.015	plus	ENST00000487267.5	IL13
Pair2_3	ENST00000487267.5	100.0	21	1	21	435	415	0.000398	minus	ENST00000487267.5	IL13
Pair3_5	ENST00000487267.5	100.0	18	1	18	335	352	0.015	plus	ENST00000487267.5	IL13
Pair3_3	ENST00000487267.5	100.0	21	1	21	435	415	0.000398	minus	ENST00000487267.5	IL13
Pair4_5	ENST00000487267.5	100.0	18	1	18	337	354	0.015	plus	ENST00000487267.5	IL13
Pair4_3	ENST00000487267.5	100.0	22	1	22	436	415	0.000121	minus	ENST00000487267.5	IL13
Pair5_5	ENST00000487267.5	100.0	18	1	18	335	352	0.015	plus	ENST00000487267.5	IL13
Pair5_3	ENST00000487267.5	100.0	22	1	22	436	415	0.000121	minus	ENST00000487267.5	IL13
Pair6_5	ENST00000487267.5	100.0	19	1	19	332	350	0.005	plus	ENST00000487267.5	IL13
Pair6_3	ENST00000487267.5	100.0	20	1	20	433	414	0.002	minus	ENST00000487267.5	IL13
Pair7_5	ENST00000487267.5	100.0	19	1	19	333	351	0.005	plus	ENST00000487267.5	IL13
Pair7_3	ENST00000487267.5	100.0	20	1	20	433	414	0.002	minus	ENST00000487267.5	IL13
Pair8_5	ENST00000487267.5	100.0	18	1	18	337	354	0.015	plus	ENST00000487267.5	IL13
Pair8_3	ENST00000487267.5	100.0	22	1	22	435	414	0.000121	minus	ENST00000487267.5	IL13
Pair9_5	ENST00000487267.5	100.0	18	1	18	335	352	0.015	plus	ENST00000487267.5	IL13
Pair9_3	ENST00000487267.5	100.0	22	1	22	435	414	0.000121	minus	ENST00000487267.5	IL13
Pair10_5	ENST00000487267.5	100.0	18	1	18	337	354	0.015	plus	ENST00000487267.5	IL13
Pair10_3	ENST00000487267.5	100.0	22	1	22	433	412	0.000121	minus	ENST00000487267.5	IL13
Pair11_5	ENST00000487267.5	100.0	18	1	18	335	352	0.015	plus	ENST00000487267.5	IL13
Pair11_3	ENST00000487267.5	100.0	22	1	22	433	412	0.000121	minus	ENST00000487267.5	IL13
Pair12_5	ENST00000487267.5	100.0	19	1	19	332	350	0.005	plus	ENST00000487267.5	IL13
Pair12_3	ENST00000487267.5	100.0	21	1	21	435	415	0.000398	minus	ENST00000487267.5	IL13
Pair13_5	ENST00000487267.5	100.0	19	1	19	332	350	0.005	plus	ENST00000487267.5	IL13
Pair13_3	ENST00000487267.5	100.0	22	1	22	436	415	0.000121	minus	ENST00000487267.5	IL13
Pair14_5	ENST00000487267.5	100.0	19	1	19	336	354	0.005	plus	ENST00000487267.5	IL13
Pair14_3	ENST00000487267.5	100.0	20	1	20	433	414	0.002	minus	ENST00000487267.5	IL13
Pair15_5	ENST00000487267.5	100.0	18	1	18	337	354	0.015	plus	ENST00000487267.5	IL13
Pair15_3	ENST00000487267.5	100.0	21	1	21	434	414	0.000398	minus	ENST00000487267.5	IL13
Pair16_3	ENST00000487267.5	100.0	20	1	20	376	357	0.002	minus	ENST00000487267.5	IL13
Pair17_3	ENST00000487267.5	100.0	20	1	20	376	357	0.002	minus	ENST00000487267.5	IL13
Pair18_3	ENST00000487267.5	100.0	20	1	20	376	357	0.002	minus	ENST00000487267.5	IL13
Pair19_3	ENST00000487267.5	100.0	20	1	20	376	357	0.002	minus	ENST00000487267.5	IL13
Pair20_3	ENST00000487267.5	100.0	20	1	20	376	357	0.002	minus	ENST00000487267.5	IL13
Pair21_3	ENST00000487267.5	100.0	20	1	20	382	363	0.002	minus	ENST00000487267.5	IL13
Pair22_3	ENST00000487267.5	100.0	20	1	20	376	357	0.002	minus	ENST00000487267.5	IL13
Pair23_3	ENST00000487267.5	100.0	20	1	20	382	363	0.002	minus	ENST00000487267.5	IL13
Pair24_3	ENST00000487267.5	100.0	21	1	21	383	363	0.000398	minus	ENST00000487267.5	IL13
Pair25_3	ENST00000487267.5	100.0	20	1	20	382	363	0.002	minus	ENST00000487267.5	IL13
Pair26_3	ENST00000487267.5	100.0	21	1	21	383	363	0.000398	minus	ENST00000487267.5	IL13
Pair27_3	ENST00000487267.5	100.0	20	1	20	382	363	0.002	minus	ENST00000487267.5	IL13
Pair28_3	ENST00000487267.5	100.0	21	1	21	383	363	0.000398	minus	ENST00000487267.5	IL13
Pair29_3	ENST00000487267.5	100.0	22	1	22	387	366	0.000121	minus	ENST00000487267.5	IL13
Pair30_3	ENST00000487267.5	100.0	21	1	21	383	363	0.000398	minus	ENST00000487267.5	IL13
Pair31_3	ENST00000487267.5	100.0	22	1	22	391	370	0.000121	minus	ENST00000487267.5	IL13
Pair32_5	ENST00000487267.5	100.0	19	1	19	388	406	0.005	plus	ENST00000487267.5	IL13
Pair32_3	ENST00000487267.5	100.0	20	1	20	538	519	0.002	minus	ENST00000487267.5	IL13
Pair33_5	ENST00000487267.5	100.0	19	1	19	388	406	0.005	plus	ENST00000487267.5	IL13
Pair33_3	ENST00000487267.5	100.0	20	1	20	523	504	0.002	minus	ENST00000487267.5	IL13
Pair34_5	ENST00000487267.5	100.0	20	1	20	387	406	0.002	plus	ENST00000487267.5	IL13
Pair34_3	ENST00000487267.5	100.0	20	1	20	538	519	0.002	minus	ENST00000487267.5	IL13
Pair35_5	ENST00000487267.5	100.0	20	1	20	387	406	0.002	plus	ENST00000487267.5	IL13
Pair35_3	ENST00000487267.5	100.0	20	1	20	523	504	0.002	minus	ENST00000487267.5	IL13
Pair36_5	ENST00000487267.5	100.0	19	1	19	388	406	0.005	plus	ENST00000487267.5	IL13
Pair36_3	ENST00000487267.5	100.0	20	1	20	522	503	0.002	minus	ENST00000487267.5	IL13
Pair37_5	ENST00000487267.5	100.0	20	1	20	385	404	0.002	plus	ENST00000487267.5	IL13
Pair37_3	ENST00000487267.5	100.0	20	1	20	538	519	0.002	minus	ENST00000487267.5	IL13
Pair38_5	ENST00000487267.5	100.0	20	1	20	387	406	0.002	plus	ENST00000487267.5	IL13
Pair38_3	ENST00000487267.5	100.0	20	1	20	522	503	0.002	minus	ENST00000487267.5	IL13
Pair39_5	ENST00000487267.5	100.0	20	1	20	385	404	0.002	plus	ENST00000487267.5	IL13
Pair39_3	ENST00000487267.5	100.0	20	1	20	523	504	0.002	minus	ENST00000487267.5	IL13
Pair40_5	ENST00000487267.5	100.0	19	1	19	388	406	0.005	plus	ENST00000487267.5	IL13
Pair40_3	ENST00000487267.5	100.0	20	1	20	526	507	0.002	minus	ENST00000487267.5	IL13
Pair41_5	ENST00000487267.5	100.0	19	1	19	388	406	0.005	plus	ENST00000487267.5	IL13
Pair41_3	ENST00000487267.5	100.0	20	1	20	542	523	0.002	minus	ENST00000487267.5	IL13
Pair42_5	ENST00000487267.5	100.0	19	1	19	388	406	0.005	plus	ENST00000487267.5	IL13
Pair42_3	ENST00000487267.5	100.0	20	1	20	545	526	0.002	minus	ENST00000487267.5	IL13
Pair43_5	ENST00000487267.5	100.0	20	1	20	385	404	0.002	plus	ENST00000487267.5	IL13
Pair43_3	ENST00000487267.5	100.0	20	1	20	522	503	0.002	minus	ENST00000487267.5	IL13
Pair44_5	ENST00000487267.5	100.0	19	1	19	388	406	0.005	plus	ENST00000487267.5	IL13
Pair44_3	ENST00000487267.5	100.0	21	1	21	539	519	0.000398	minus	ENST00000487267.5	IL13
